key_point_id,key_point,topic,stance
-8127817953424109897,gives you opportunities for improvement with secure jobs and good salary,The USA is a good country to live in,1
-782625292015208222,The United States is a land of opportunities where we can develop in different environments,The USA is a good country to live in,1
-5050252491235164124,"Fulfill the American dream of equality, freedom of expression and quality of life.",The USA is a good country to live in,1
-2717261770219586801,in a country with great opportunities and better quality of life,The USA is a good country to live in,1
-8033317798684119932,Excellent country to live for its people and its culture.,The USA is a good country to live in,1
4748669708457892972,The USA is a good country to live in because of the amazing health care,The USA is a good country to live in,1
6371191527522763735,America is a free nation where working hard you can live the American dream,The USA is a good country to live in,1
4555683250190697379,in the USA the health system is very expensive and discriminates against the poor population,The USA is a good country to live in,-1
6802426806787610134,there are many racial problems that endanger social peace,The USA is a good country to live in,-1
-4526129685384165596,The USA is a greatly divided country that can make it difficult to succeed,The USA is a good country to live in,-1
5653282121352032157,it doesn`t have free healthcare and it has a lot of shootings and racist systems in place.,The USA is a good country to live in,-1
4523571702806855630,It is very unsafe with the large number of attacks that there are,The USA is a good country to live in,-1
7792958192150008638,"The health sector, despite being very good, is excessively expensive, as is healthy food.",The USA is a good country to live in,-1
4160485208429130631,there is a very high unemployment rate and services are very expensive,The USA is a good country to live in,-1
-6831851700619816422,Routine child vaccinations should be mandatory to prevent the virus from developing itself.,Routine child vaccinations should be mandatory,1
-1299057247259106526,yes as they protect children from life threatening and highly infectious diseases,Routine child vaccinations should be mandatory,1
2619758967925891850, Routine childhood vaccinations  should be mandatory for virus prevention,Routine child vaccinations should be mandatory,1
-4194459040150282047,Child vaccination should be mandatory to avoid the virus,Routine child vaccinations should be mandatory,1
-4065222458440468707,Child vaccination should be mandatory because they may transfer the virus,Routine child vaccinations should be mandatory,1
1899538156775524514,"Child vaccination is needed for children, they get sick too",Routine child vaccinations should be mandatory,1
2012292200431979747,Child vaccination shouldn't be mandatory because the virus isn't effective in children,Routine child vaccinations should be mandatory,-1
448949983509352370,"It has not been 100% proven if the vaccine is effective. In addition, there are many side effects",Routine child vaccinations should be mandatory,-1
7016180569722000259,Routine child vaccinations isn't mandatory since children don't spread the virus,Routine child vaccinations should be mandatory,-1
-3744656643663154129,"No, they will impede free will and decision-making capacity",Routine child vaccinations should be mandatory,-1
-1387816196388897700,Children should not be vaccinated because they can have serious side effects,Routine child vaccinations should be mandatory,-1
8448940907190078290,"As long as vaccines are not free of side effects, it cannot make them mandatory for our children.",Routine child vaccinations should be mandatory,-1
-8324438714396930719,Making vaccination compulsory is not the only way to obtain high vaccination rates.,Routine child vaccinations should be mandatory,-1
-1307823077744857379,Social media platforms should be regulated by the government to prevent any potential crimes,Social media platforms should be regulated by the government,1
-2678324303462028745,It should be regulated since certain information can be filtered there,Social media platforms should be regulated by the government,1
2686180781467052670,"It should be regulated, to make a safer enviroment for children, from paedophiles and bullying.",Social media platforms should be regulated by the government,1
5058577305322559872,Governments should avoid the proliferation of fake news and hoaxes on social networks.,Social media platforms should be regulated by the government,1
5577845332055829685,Social media must be regulate to protect society from crime that platforms breed.,Social media platforms should be regulated by the government,1
1235462014633423970,"Social media is simply harmless fun, which entertains people and should not be regulated.",Social media platforms should be regulated by the government,-1
8118320166874511968,Social media is a place for free speech and therefore should not be regulated by the government.,Social media platforms should be regulated by the government,-1
-1859437524730127079,"It shouldn't, they are private companies, what you should do is monitor their content",Social media platforms should be regulated by the government,-1
-1080215586455625288,Social media censorship restricts the freedom of speech of every citizen,Social media platforms should be regulated by the government,-1
562560308091723715,the government is corrupt and could take advantage of this,Social media platforms should be regulated by the government,-1
-7660963620943521001,Government regulation of social media prevents people from expressing their freedom of speach.,Social media platforms should be regulated by the government,-1
-6653287236646413826,Government regulation of social media would be harmful to democracy,Social media platforms should be regulated by the government,-1
