id	rank	argument
66	0.8235294117647058	Online shopping allows retailers to market to new clientele who wouldn't otherwise buy from them, due to geographical location or other impediments.
199	0.7	Online shopping removes the hours limitations of regular stores, allowing people to shop according to their own schedules instead of the store's.
231	0.35294117647058826	-Less time wasted to pick the product; -Fast and often reliable services for delivery; -Convenience of not leaving the house; -Cheaper solutions;
283	0.7058823529411765	I disagree, on-line shopping a boom for consumerism. Consumers are able to shop for the best value almost instantly, removing the need for traveling from store to store to get the best deal.
296	0.8	Online shopping allows individuals to send in reviews so that other people have more information about what they're buying which can't happen with in-person stores.
303	0.6666666666666666	Online market is much less expensive to operate than traditional market and enhance profit.
310	0.7058823529411765	Online shopping provides a better costumer experience. Costumers can buy any product from anywhere
348	0.8	Online shopping drives the prices of clothing and other products down which makes it more accessible to individuals in poverty.
372	0.8235294117647058	Buyers can purchase cheaper products since the overhead costs of business are lower
393	0.9333333333333332	Online shopping gives people access to a much wider pool of options when choosing to buy a certain product, so people can choose what's specifically best for them.
417	0.9333333333333332	Online shopping brings good by increasing the product options for people living in rural areas.
432	0.5882352941176471	Online shopping is simply a new way to shop. It's innovation, I don't see why we should go backwards.
462	0.4117647058823529	Decreases product price and make it more available.
467	0.7647058823529411	Online shopping allows buyers to buy the exact product/model they want even if it is not available in a store close to them.
468	0.7333333333333333	Online shopping saves time: instead of going to the store, find parking, find the product in the store - for online shopping, open the laptop is all one needs to do.
485	0.8666666666666667	It's easier to start an online business than a traditional one, lowering the launching requirement of buisnesses.
507	0.9411764705882352	Online shopping allows someone in remote areas to access goods normally only available in large cities.
590	0.8235294117647058	Most online shopping is done from less economically developed countries, because they offer much cheaper prices. This benefits the economy of these countries and allows more people to lift themselves out of poverty.
594	0.7333333333333333	Online shopping help consumers to compare prices and quality of products because it's easier to compare both products and suppliers, as well as their terms in an objective way.
612	0.7	online shopping is usually cheaper then regular shopping, thus people are getting what they need in better price convenience for them
672	0.8	Online shopping brings more good than harm because it allows niche businesses to survive by selling goods that a local market has too little demand for, except for in cities like London or New York.
676	0.6470588235294118	Returns from on-line shopping are finding their way to discount stores. For discount shoppers the variety is increasing. Also shipping costs have come down substantially since everyone is shopping on-line.
682	0.9333333333333332	It enables people to get exactly what they want, from anywhere in the world, not restricted by what's currently in stock of your local store's inventory.
699	0.7058823529411765	Online shopping is a driving force for improved payments technology.
713	0.6666666666666666	There is a greater variety of products in the market because manufacturers are not subjected to beaurocratical restrictions.
761	0.8	online shopping creates a global marketplace where people can shop all around the world and find more products that suit their needs and likes, and not be limited to their local marketplace
775	0.4705882352941176	The things which we are buying online is good. And the things are in cheaper rates also. The online things can be return or exchanged also. There are EMI policy also.
864	0.9	Online shopping brings more good than harm because it puts pressure on traditional retail shops to have fair prices and more transparency.
