id	rank	argument
87	0.7058823529411765	Brick and mortar shops are important because they employ real people instead on online robots
96	0.6666666666666666	Online shops harms their users. The seller is many times hard to reach, or his information is wrong, so when you get a wrong or dysfunctioning product you are unlikely to be compensated.
220	0.7647058823529411	Online shopping encourages people to spend even more time staring at their computer screen, an addiction that is fast becoming a problem for modern society.
235	0.8823529411764706	Online shoppers sometimes lose the power to negotiate the price and payment terms that may exist in local stores.
245	0.6470588235294118	The amount of energy consumed to ship products from one place to another, also to store, the storage place etc... the carbon footprint required to deliver a product from source to destination is huge
250	0.7333333333333333	Online shopping makes scams much more common, as it is both easier when the customers can't see the product and can't easily track the deceiver, and more profitable as it has a higher reach.
318	0.8	People spend much more money than they can afford online because the purchase doesn't seems real, so they are more likely to get in debts
320	0.9411764705882352	Online shopping puts small businesses out of business
349	0.6470588235294118	Online shopping is not good because it is likely to generate more returns as consumers can not touch or feel the goods before they buy them
380	0.8235294117647058	Due to anonymity fraud is encouraged and enabled by on-line shopping.
459	0.5882352941176471	It is bad for the local business and jobs in th communities.
495	0.8235294117647058	Quality of products often will not match the descriptions provided.
502	0.9333333333333332	Online shopping is harming the local market significantly, causing people to lose their jobs or businesses because they can't compete in the price war
508	0.4705882352941176	maybe like online shopping reduces jobs and makes ppl homeless and poor so maybe thats why my friend likes it idk why he likes suffering
564	0.7058823529411765	Online shopping promotes cheap, replaceable goods that contribute to landfills.
579	0.8125	Online shopping brings more harm than good because it encourages vertical monopolies as companies lock down their ecosystem, like Amazon with their Kindle in the ebook space.
596	0.8	Online shoppers are much more suspectible to advertisement and false presentations of products and services as they don't have any actual production in hands to evaluate.
602	0.7647058823529411	Online shopping lures people into spending more than they want to and can afford since it is all paid for with credit cards, where the money doesn't actually pass from one physical hand to another.
637	0.8823529411764706	It's harder to dispute a purchase made online with the responsible authorities.
656	0.8333333333333334	Online shopping brings more harm than good because it strips away the social experience of shopping and makes people more isolated.
709	0.8823529411764706	Online shopping tends to be centered around a few very large companies (Alibaba, Amazon etc.). In the long term, this creates a monopoly of these companies in the market and reduces competition.
729	0.9411764705882352	Online shopping destroys communities. In regular stores, people from neighborhoods and communities share experiences. They meet each other and chat. They get to know the young workers in the area. Online shopping stops these interactions.
802	0.5882352941176471	Online shoppers do not have the ability to physically inspect or try on the items being considered for purchase.
836	0.7647058823529411	Online shopping can be addictive. You can buy items out of boredom and mindlessly.
866	0.4117647058823529	Buyers never get their products immediately, they always need to wait to receive them.
893	0.4117647058823529	i mean maybe u can like get a package bomb if u order from a suspicious website.....
924	0.5294117647058824	bigger businesses are at the top of every search and pay to be the most viewed killing off all business that is not big it also allows less effort than buying good physically
926	0.8823529411764706	Online Shopping has started to decimate traditional brick and mortar venues. One need only go to the mall over the Christmas season to see the empty stores, and services that support traditional stores.
931	0.7333333333333333	When you buy online the chance of being cheated are bigger, Because you do not see the product in the eye before buying.
955	0.7647058823529411	Large companies like Amazon or Alibaba are able to grow too much so they can press to service providers forcing them to accept bad deals who imply a lot of times bad work conditions for employees
960	0.8	Many of those sites have their way of learning the buyer and making specifically the stuff he likes to be more expensive
978	0.7058823529411765	As most do not receive items the day of shipping, proliferation of online shopping limit access to emergency goods that are needed same-day or otherwise increase their prices.
1108	0.7058823529411765	Online Shopping will Bring solitude and exterminate street commerce
1153	0.9411764705882352	Online shopping has a negative effect on the local community and increases social isolation
1178	0.7647058823529411	Governments do not have enough control over the purchases made online, therefore, illegal items can be sold and inspection skipped.
1239	0.8235294117647058	online shopping requires air travel, causing more emissions and exacerbating climate change.
1240	0.875	Online shopping brings more harm than good because it encourages the dominance of a few businesses like Amazon at the expense of any competitors.
1277	0.7058823529411765	Online shopping can be more toxic than tradicional ways cause the easiness and availability of any product is insane and it is easy to lose your focus.
1278	0.5333333333333333	It is hard to regulate online shopping and because of that the costumer is more likely to be scammed
1295	0.8	Many people buy online based on fake reviews and receive products that do not suit them.
1296	0.6666666666666666	Online shopping cause damage to small stop owners whom can't compete Amazon
1316	0.8	Online shopping leads people to buy more unnecessary things because it's easier to buy them.
1322	0.7058823529411765	"Online shopping leads to over-shopping. The expression ""shop till you drop"" only holds when a person must actually walk around a store and hold bags. Online shopping takes no more energy than sitting in a chair."
1402	0.6666666666666666	It is highly digitized and therefore creates less jobs and harms the economy
1420	0.8	Destroys local buisenesses, which harms many people who have built their lives around them
1494	0.8823529411764706	Online shopping creates opportunities for fraud and e-commerce scam
1498	1.0	Online shopping causes local business to close and people to lose jobs
1511	0.6666666666666666	Online shopping brings more harm than good because it allows American companies to dominate commerce in smaller countries and undermines their domestic retailers, such as Amazon in Ireland.
1518	0.8666666666666667	The ability to buy things cheaply and quickly from the other end of the world massively harms local businesses and producers, and makes lots of people lose their jobs.
